City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
294,Nargana,PA,2020-11-13 08:14:26,9.44,-78.59,78.6,81,93,6.53
295,Sterling,US,2020-11-13 08:14:27,39.01,-77.43,48.2,70,90,3.36
296,Covington,US,2020-11-13 08:14:27,39.08,-84.51,41.0,75,75,3.36
297,Zhuhai,CN,2020-11-13 08:14:27,22.28,113.57,82.0,57,20,12.75
298,Eseka,CM,2020-11-13 08:14:27,3.65,10.77,81.82,79,2,1.77
299,Sao Joao Da Barra,BR,2020-11-13 08:14:27,-21.64,-41.05,72.03,95,100,15.43
300,Nikolsk,RU,2020-11-13 08:14:27,53.72,46.07,31.3,91,37,8.97
301,Okhotsk,RU,2020-11-13 08:14:27,59.38,143.3,14.85,87,100,6.82
302,Kilemary,RU,2020-11-13 08:14:28,56.78,46.87,30.9,97,95,6.51
303,Port Keats,AU,2020-11-13 08:14:28,-14.25,129.55,88.56,65,0,12.97
